6,5,48,49
5,5,36,40
6,6,43,47
5,5,22,24
5,5,55,52
5,5,47,51
12,12,135,119
5,5,26,28
6,5,40,45
7,7,74,79
6,5,33,32
6,5,40,39
7,7,72,67
5,6,31,32
5,5,37,36
6,6,22,22
5,6,31,32
5,5,27,28
5,6,30,29
6,6,29,35
5,6,27,28
5,6,47,49
10,11,106,110
5,5,27,28
5,6,54,60
6,5,30,29
5,6,51,43
5,6,23,24
6,6,29,30
6,5,33,30
5,5,35,35
5,6,24,29
5,6,48,49
5,5,45,42
6,6,53,54
6,6,28,29
5,6,29,31
8,6,73,68
5,6,25,26
6,6,38,38
7,6,65,64
5,5,31,29
10,8,96,83
6,5,36,35
7,6,68,60
6,5,41,44
5,5,28,28
5,5,26,26
6,6,29,29
5,5,35,35
5,5,22,22
13,12,142,131
9,8,89,80
6,6,41,42
9,7,87,80
5,6,29,29
6,5,32,29
5,6,53,49
5,5,28,30
6,5,31,32
9,9,85,85
6,6,35,35
5,6,48,49
5,6,31,32
5,6,37,37
6,5,47,46
6,6,22,22
5,6,31,32
6,6,35,35
6,5,49,44
6,6,68,65
6,7,61,65
6,5,26,25
6,5,22,22
6,6,43,43
8,7,80,76
6,6,40,46
6,6,28,30
6,5,40,40
6,5,36,35
6,6,41,36
6,6,43,57
7,6,62,64
5,5,30,30
6,5,53,52
6,6,48,48
8,9,90,96
5,6,31,35
8,8,77,73
5,6,27,32
6,5,31,31
5,5,38,38
5,5,36,35
8,8,92,88
7,6,65,64
5,5,24,24
6,6,37,38
5,5,25,24
6,6,36,36
5,6,34,44
5,5,24,26
6,6,48,39
6,5,40,39
5,5,40,36
6,6,34,36
6,5,54,51
5,5,33,33
9,9,96,86
6,5,43,40
6,6,23,23
6,5,35,35
6,6,56,57
6,6,34,36
6,5,28,28
5,5,29,29
7,6,63,64
6,6,28,26
6,5,23,21
6,5,46,38
5,5,21,23
6,5,58,49
6,6,57,64
6,6,25,25
7,7,79,77
5,6,52,52
6,5,38,37
5,6,26,29
6,6,26,26
6,6,45,43
5,6,23,25
7,6,65,67
5,6,22,23
6,5,31,30
6,6,51,46
6,5,31,28
6,6,25,25
8,7,76,71
6,5,30,29
5,5,31,31
6,6,25,27
5,6,58,59
5,5,31,31
5,5,29,33
5,5,33,31
5,6,30,33
5,6,28,29
6,5,37,36
5,5,26,26
6,7,70,63
5,6,44,40
6,5,50,49
8,7,78,77
5,6,31,31
13,12,132,119
5,6,30,36
6,5,30,30
6,6,36,40
8,7,78,76
5,6,28,29
6,5,27,25
5,5,27,31
6,6,27,27
6,5,37,36
5,6,32,33
5,6,38,37
6,7,68,70
12,11,131,117
6,5,32,32
5,6,40,37
6,6,23,50
6,5,61,56
5,5,31,29
6,6,49,45
6,6,41,36
8,8,79,79
5,5,25,25
6,6,24,25
5,5,38,38
5,5,47,43
6,5,36,35
6,5,39,38
6,5,45,46
6,6,45,43
6,5,27,26
6,6,33,36
5,6,26,24
5,6,29,30
5,6,28,29
5,5,29,30
6,6,35,35
5,6,25,26
5,6,56,55
6,5,48,47
6,5,23,24
5,5,39,36
5,6,54,56
5,5,22,21
6,6,22,22
5,5,38,34
5,5,30,29
5,5,28,35
5,5,25,26
5,6,39,40
6,5,25,24
5,6,22,26
6,6,29,30
6,6,25,26
6,5,28,27
6,5,47,43
11,10,116,114
9,9,96,97
5,10,49,99
6,5,53,47
5,5,46,44
6,5,60,58
6,6,65,65
7,6,76,57
6,6,65,61
6,5,34,33
8,7,77,76
7,7,69,71
5,6,56,55
6,6,34,34
6,5,39,38
10,10,105,107
5,6,24,29
5,5,31,31
5,5,36,37
5,6,28,29
5,5,24,23
11,10,107,97
6,5,41,32
5,6,25,24
5,6,30,31
9,9,84,85
5,5,36,33
9,8,86,85
5,6,23,24
7,7,71,70
5,6,44,42
5,5,23,23
11,10,125,114
6,6,33,36
6,5,34,34
6,5,30,29
6,6,57,58
6,6,28,28
6,5,42,41
5,6,28,29
5,5,31,35
8,7,79,78
14,14,154,149
6,6,46,47
6,6,51,49
5,6,29,31
11,10,124,110
5,5,25,25
8,6,78,68
6,6,25,22
5,5,31,31
6,6,27,27
15,14,151,144
5,5,33,32
6,5,54,48
5,5,46,46
5,6,20,21
6,5,22,22
13,11,128,112
5,5,44,44
6,5,25,22
11,10,114,103
5,5,22,23
6,6,25,26
5,6,48,50
6,5,32,31
6,6,26,26
5,6,33,34
5,5,56,57
6,6,62,51
5,6,39,40
5,6,43,44
6,6,65,70
6,6,32,32
6,6,21,21
10,9,105,97
5,6,31,35
5,5,32,38
5,6,23,24
6,6,35,35
6,6,45,43
12,12,119,118
5,6,32,31
7,6,66,62
7,6,66,67
5,6,51,52
8,7,79,75
5,5,46,47
7,6,63,57
5,5,34,35
6,6,31,31
5,5,53,53
6,5,35,34
5,5,41,41
13,14,145,141
5,6,22,23
6,5,22,21
7,7,69,65
6,6,28,28
5,5,23,23
6,6,28,30
7,6,75,68
6,6,53,51
6,5,33,36
5,5,31,34
5,6,59,51
6,6,26,26
7,7,64,63
6,6,32,33
6,5,26,26
6,7,59,63
6,5,28,27
5,5,41,40
6,5,40,39
5,6,24,25
6,5,40,34
5,5,46,52
5,5,24,25
5,6,46,46
7,7,66,71
6,6,39,39
5,5,24,24
8,7,90,78
6,5,22,23
6,6,46,42
6,6,38,33
5,5,25,25
5,6,21,24
6,5,36,35
5,6,31,32
6,5,27,21
5,5,25,23
6,6,49,45
6,5,31,32
5,5,28,28
5,6,33,34
6,5,25,25
9,9,100,88
6,5,32,35
6,5,39,39
5,6,34,33
5,5,35,44
8,8,74,76
7,7,62,64
5,6,47,50
5,5,29,30
5,6,25,26
6,6,22,22
6,6,35,38
9,9,87,94
6,5,46,45
6,5,40,40
5,7,32,67
7,6,67,66
6,6,40,45
5,5,32,32
7,6,66,58
7,8,76,82
5,6,34,68
5,6,43,42
6,6,66,62
5,6,27,28
5,6,40,39
6,5,24,24
6,6,37,37
6,7,63,65
6,6,27,28
5,6,35,36
9,9,94,87
6,6,31,31
6,6,36,33
6,6,56,52
6,6,45,42
6,6,44,49
6,6,40,40
8,8,73,73
6,5,40,37
6,5,45,42
6,5,35,34
5,6,35,38
6,6,26,27
5,6,55,57
5,5,30,32
5,5,35,33
5,6,36,40
5,5,43,44
6,5,42,41
6,6,29,29
6,6,39,40
5,6,42,43
6,5,42,37
5,6,42,45
5,6,53,55
5,5,25,26
5,5,38,39
5,6,27,35
5,6,27,27
6,6,23,24
10,8,96,86
